building,ELECTRICITY,COOLING,GAS,HEAT,STEAM,n_utilities
276,1,1,1,1,1,5
53,1,1,1,1,1,5
371,1,1,1,1,1,5
1018,1,1,0,1,1,4
253,1,1,1,1,0,4
70,1,1,1,1,0,4
69,1,1,0,1,1,4
80,1,1,1,0,1,4
147,1,1,1,1,0,4
148,1,1,1,1,0,4
160,1,1,1,1,0,4
146,1,1,1,1,0,4
17,1,1,1,1,0,4
254,1,1,1,1,0,4
248,1,1,1,0,1,4
24,1,1,1,1,0,4
150,1,1,1,1,0,4
249,1,1,0,1,1,4
88,1,0,1,1,1,4
1103,1,1,1,1,0,4
144,1,1,1,1,0,4
1110,1,1,1,1,0,4
50,1,1,1,1,0,4
354,1,1,1,1,0,4
297,1,0,1,1,1,4
372,1,1,1,1,0,4
274,1,1,1,1,0,4
299,1,1,1,1,0,4
293,1,1,1,1,0,4
65,1,1,1,1,0,4
180,1,1,1,0,1,4
18,1,1,1,1,0,4
41,1,1,1,0,1,4
375,1,1,1,1,0,4
1106,1,1,1,1,0,4
89,1,1,1,0,1,4
136,1,1,1,0,1,4
1101,1,1,1,1,0,4
1044,1,1,0,1,1,4
1108,1,1,1,1,0,4
1102,1,1,1,1,0,4
163,1,0,1,1,0,3
245,1,1,0,1,0,3
246,1,1,1,0,0,3
250,1,1,0,1,0,3
26,1,1,0,1,0,3
251,1,1,0,1,0,3
252,1,1,0,1,0,3
187,1,1,0,1,0,3
149,1,0,1,1,0,3
14,1,0,1,1,0,3
1109,1,1,0,1,0,3
1104,1,1,0,1,0,3
1105,1,1,0,1,0,3
388,1,1,0,1,0,3
4,1,1,0,1,0,3
95,1,1,0,1,0,3
1107,1,1,0,1,0,3
11,1,1,0,1,0,3
105,1,0,1,1,0,3
1043,1,1,0,1,0,3
376,1,1,0,1,0,3
386,1,1,0,1,0,3
46,1,1,0,1,0,3
298,1,0,1,1,0,3
28,1,0,1,1,0,3
282,1,1,0,0,1,3
272,1,0,1,1,0,3
265,1,1,0,1,0,3
266,1,1,0,1,0,3
309,1,0,1,1,0,3
37,1,0,1,1,0,3
302,1,0,1,1,0,3
165,1,1,0,0,1,3
157,1,0,1,0,1,3
161,1,0,1,1,0,3
60,1,0,1,1,0,3
64,1,0,1,0,1,3
353,1,1,0,0,1,3
340,1,0,1,1,0,3
131,1,0,1,1,0,3
87,1,1,0,1,0,3
61,1,0,1,1,0,3
67,1,1,0,1,0,3
103,1,0,0,1,1,3
1,1,1,0,1,0,3
99,1,1,0,1,0,3
10,1,0,1,1,0,3
852,1,1,0,1,0,3
81,1,0,1,1,0,3
7,1,1,0,1,0,3
84,1,0,1,1,0,3
851,1,1,0,1,0,3
1025,1,1,0,1,0,3
72,1,1,0,1,0,3
25,1,1,0,1,0,3
275,1,0,1,1,0,3
277,1,0,1,0,1,3
339,1,1,0,1,0,3
337,1,1,0,1,0,3
5,1,1,0,1,0,3
54,1,0,1,1,0,3
55,1,1,0,1,0,3
308,1,0,1,1,0,3
