building,composite_z,mean_z,n_utilities,min_r2,mean_r2,grossarea,utilities
376,19.340166731950177,6.446722243983392,3,-1.129055215728859,-0.007993281742804855,34246,"COOLING, ELECTRICITY, HEAT"
388,14.241020166493902,4.747006722164634,3,0.8404764514174412,0.881180854505836,83056,"COOLING, ELECTRICITY, HEAT"
882,9.90265851791805,4.951329258959025,2,-1.420614060473492,-0.2700929609803502,41461,"ELECTRICITY, GAS"
390,8.25929378027732,4.12964689013866,2,-0.5206408273643541,0.12376059279438634,19518,"ELECTRICITY, HEAT"
250,5.588710941775288,1.8629036472584293,3,0.4114018322651284,0.7515571160039465,69508,"COOLING, ELECTRICITY, HEAT"
29,3.8525947716299958,1.9262973858149979,2,0.1382991710565287,0.48941318069502615,5417,"ELECTRICITY, GAS"
69,3.5960314579577832,0.8990078644894458,4,0.7036608888665806,0.8244198013859129,110142,"COOLING, ELECTRICITY, HEAT, STEAM"
1106,3.4314865653627367,0.8578716413406842,4,0.0549332955795039,0.5789668553983847,27916,"COOLING, ELECTRICITY, GAS, HEAT"
371,3.344915772476524,0.6689831544953048,5,0.1790168732293308,0.5940270012274421,110310,"COOLING, ELECTRICITY, GAS, HEAT, STEAM"
230,3.309158238766405,3.309158238766405,1,0.1147971019138087,0.1147971019138087,938,ELECTRICITY
362,2.783842854515162,1.391921427257581,2,0.5077658798987923,0.6346477855118611,16525,"ELECTRICITY, GAS"
53,2.5055439251923017,0.5011087850384603,5,-6.849744211380997,-0.8836000169178163,117661,"COOLING, ELECTRICITY, GAS, HEAT, STEAM"
7,2.2616521369224443,0.7538840456408148,3,0.7603033063280142,0.8580041671254026,61621,"COOLING, ELECTRICITY, HEAT"
307,2.06666952665506,1.03333476332753,2,0.0514170421490972,0.33715665351373314,81611,"ELECTRICITY, GAS"
358,1.9998482832461844,0.9999241416230922,2,0.3994869584451994,0.5200014154120284,25545,"ELECTRICITY, GAS"
1018,1.723237107426163,0.43080927685654075,4,-139.2998040163699,-34.274668142618445,124191,"COOLING, ELECTRICITY, HEAT, STEAM"
310,1.1779101594160062,0.5889550797080031,2,0.0373193144086769,0.4297303850836267,59654,"ELECTRICITY, GAS"
304,0.9301287322450297,0.46506436612251484,2,0.291868587453001,0.3381586117448786,10120,"ELECTRICITY, GAS"
222,0.7990600375582508,0.3995300187791254,2,0.0953154042260462,0.4904438860419966,9167,"ELECTRICITY, GAS"
130,0.7209061142354376,0.3604530571177188,2,0.0864845028107137,0.43170209051746544,8977,"ELECTRICITY, GAS"
270,0.6584267278873626,0.3292133639436813,2,0.4142143827458846,0.6498206763788024,202623,"ELECTRICITY, GAS"
91,0.6561248021019452,0.3280624010509726,2,0.0,0.0530852246316776,25443,"ELECTRICITY, GAS"
10,0.5269876514588283,0.1756625504862761,3,0.0124564079479262,0.5661634621108927,35173,"ELECTRICITY, GAS, HEAT"
186,0.4774472449791184,0.2387236224895592,2,-2.6666334029995515,-1.3333167014997758,35831,"ELECTRICITY, HEAT"
265,0.3911827520862969,0.13039425069543228,3,0.0,0.0,76345,"COOLING, ELECTRICITY, HEAT"
1056,0.3159589882673196,0.3159589882673196,1,-9.462047451646743,-9.462047451646743,2481,ELECTRICITY
247,0.31247697088814885,0.31247697088814885,1,0.4948875438433283,0.4948875438433283,126374,HEAT
105,0.2586346677493496,0.08621155591644987,3,0.364521400064669,0.6269471672396782,36868,"ELECTRICITY, GAS, HEAT"
958,0.22740811797410576,0.22740811797410576,1,-78.67742742353589,-78.67742742353589,3667,ELECTRICITY
18,0.19174274830042332,0.04793568707510583,4,0.0,0.0,115368,"COOLING, ELECTRICITY, GAS, HEAT"
394,0.1786883689027463,0.08934418445137315,2,0.2757581360896805,0.5024658668668738,24429,"ELECTRICITY, GAS"
179,0.1268830707159507,0.06344153535797535,2,-407283.3052814424,-203641.60003721772,8443,"ELECTRICITY, GAS"
992,0.10955397422928939,0.10955397422928939,1,-20.05948235071231,-20.05948235071231,1900,ELECTRICITY
892,0.09543130670022137,0.09543130670022137,1,-78.51041118294661,-78.51041118294661,101308,ELECTRICITY
218,0.07854052567160777,0.07854052567160777,1,0.1889089134011287,0.1889089134011287,1062,ELECTRICITY
983,0.06944707331823338,0.03472353665911669,2,-0.958291664360796,-0.515308875911975,7573,"ELECTRICITY, GAS"
280,0.06938669349861415,0.023128897832871382,3,0.8567277459295941,0.9127943016071284,115386,"COOLING, ELECTRICITY, HEAT"
182,0.06258046312394651,0.031290231561973254,2,0.0,0.40114913089813287,30311,"ELECTRICITY, HEAT"
178,0.05672051164291092,0.02836025582145546,2,-6805.545871368424,-3402.762059142483,2753,"ELECTRICITY, GAS"
144,0.05265646615652862,0.013164116539132156,4,0.0,0.45344100147549754,132733,"COOLING, ELECTRICITY, GAS, HEAT"
1316,0.048824903222197895,0.048824903222197895,1,0.5354171274148058,0.5354171274148058,1116,ELECTRICITY
3,0.017369917067967117,0.008684958533983558,2,-5611.814131765109,-2805.4642714521624,99238,"ELECTRICITY, HEAT"
1109,0.01689263924796297,0.00563087974932099,3,-0.2415961746710255,0.4902001958168008,29520,"COOLING, ELECTRICITY, HEAT"
800,0.016022507193179047,0.008011253596589524,2,0.0,0.0647693793270069,27220,"ELECTRICITY, GAS"
384,0.009558227185572254,0.004779113592786127,2,0.0984477901260981,0.3982484536389823,6360,"ELECTRICITY, GAS"
158,0.0027863529308079504,0.0013931764654039752,2,0.064379248604256,0.395236407526254,4887,"ELECTRICITY, GAS"
261,0.0018214133337829952,0.0009107066668914976,2,0.1538272431478351,0.5157952947590642,34948,"ELECTRICITY, HEAT"
78,0.0010470624836400322,0.0005235312418200161,2,0.0,0.37189986875152964,51202,"ELECTRICITY, HEAT"
190,-0.006755346334399226,-0.003377673167199613,2,0.0,0.2138794583808009,111504,"ELECTRICITY, STEAM"
278,-0.007809291103804954,-0.007809291103804954,1,-43.14312677984668,-43.14312677984668,323165,ELECTRICITY
987,-0.00799546586061467,-0.003997732930307335,2,0.170005020789868,0.2330902949099887,10291,"ELECTRICITY, GAS"
184,-0.011486618597235071,-0.0057433092986175355,2,-0.4182873049351447,0.16215953096734317,35922,"ELECTRICITY, HEAT"
162,-0.01992161497902176,-0.01992161497902176,1,-26.54334485267581,-26.54334485267581,280482,ELECTRICITY
153,-0.024147202289531655,-0.012073601144765828,2,-0.1780001004198355,-0.0549812659333351,10229,"ELECTRICITY, GAS"
1028,-0.02484393122889696,-0.02484393122889696,1,-12.867677658898996,-12.867677658898996,708129,ELECTRICITY
363,-0.02694125036506101,-0.013470625182530505,2,0.8680398530403388,0.9088887135519281,74390,"ELECTRICITY, HEAT"
42,-0.027849079582536435,-0.013924539791268217,2,0.0,0.38131667892455734,60613,"ELECTRICITY, HEAT"
56,-0.033853662537007057,-0.016926831268503528,2,0.7072081364546401,0.7137031348456604,59254,"ELECTRICITY, GAS"
185,-0.04486211260560426,-0.02243105630280213,2,-6.374397930275928,-2.792237554255393,30286,"ELECTRICITY, HEAT"
288,-0.05747119835032489,-0.05747119835032489,1,-126.50880243191052,-126.50880243191052,216738,ELECTRICITY
92,-0.062179863343795244,-0.062179863343795244,1,0.607664209592842,0.607664209592842,29626,ELECTRICITY
298,-0.06304442346318598,-0.021014807821061993,3,-3.504302099355013,-0.9018878117206616,111496,"ELECTRICITY, GAS, HEAT"
83,-0.06327893033214263,-0.06327893033214263,1,-5.3909923899731655,-5.3909923899731655,228195,ELECTRICITY
26,-0.065055560373663,-0.021685186791221,3,0.7707376506986426,0.8482810625246472,100348,"COOLING, ELECTRICITY, HEAT"
159,-0.07973835786214459,-0.07973835786214459,1,-7.738373211918285,-7.738373211918285,445873,ELECTRICITY
263,-0.08720314439271376,-0.04360157219635688,2,0.5134600420164354,0.6797625017352397,58446,"ELECTRICITY, GAS"
359,-0.09180420924371609,-0.09180420924371609,1,-3.8032945789686288,-3.8032945789686288,371919,ELECTRICITY
387,-0.09587569210009612,-0.09587569210009612,1,-0.596580836807354,-0.596580836807354,234895,ELECTRICITY
870,-0.09624256623715358,-0.09624256623715358,1,0.0,0.0,2010690,COOLING
287,-0.10652664961343611,-0.10652664961343611,1,-1.01237388743154,-1.01237388743154,325700,ELECTRICITY
357,-0.10842663991630773,-0.054213319958153865,2,0.433592475727917,0.5135692932639276,41171,"ELECTRICITY, GAS"
40,-0.11145583997932164,-0.05572791998966082,2,0.2539504246465531,0.403758560782732,6396,"ELECTRICITY, HEAT"
228,-0.11347428667164927,-0.11347428667164927,1,0.4973890021142948,0.4973890021142948,42374,ELECTRICITY
193,-0.1153534200291435,-0.05767671001457175,2,0.4774371757005191,0.6422107442769722,26562,"ELECTRICITY, GAS"
106,-0.1158911387662012,-0.0579455693831006,2,0.8601739191716513,0.8633862464241949,135883,"ELECTRICITY, HEAT"
176,-0.11843355136804762,-0.11843355136804762,1,0.9220955006744924,0.9220955006744924,70620,ELECTRICITY
959,-0.1256464159148258,-0.1256464159148258,1,0.8252863804102765,0.8252863804102765,9988,ELECTRICITY
187,-0.12767717157689107,-0.04255905719229702,3,0.0,0.6120766019931082,28896,"COOLING, ELECTRICITY, HEAT"
377,-0.13536314145522382,-0.13536314145522382,1,-0.1374575749516398,-0.1374575749516398,4447,ELECTRICITY
356,-0.13828588660137936,-0.06914294330068968,2,0.8505564914676547,0.8561709702511385,90747,"ELECTRICITY, HEAT"
1011,-0.13967123135491172,-0.13967123135491172,1,0.8896654038673973,0.8896654038673973,114315,ELECTRICITY
352,-0.14052826650791844,-0.14052826650791844,1,-0.2790606024073629,-0.2790606024073629,221080,ELECTRICITY
260,-0.14304948530055508,-0.07152474265027754,2,0.6274382660787656,0.7873854583502831,48431,"ELECTRICITY, GAS"
231,-0.14326257162741865,-0.14326257162741865,1,0.5262160973113512,0.5262160973113512,800,ELECTRICITY
133,-0.14488586775975862,-0.14488586775975862,1,0.7605393486199871,0.7605393486199871,5450,ELECTRICITY
132,-0.14534465536625724,-0.14534465536625724,1,0.8911093647261278,0.8911093647261278,3137,ELECTRICITY
39,-0.14701651495710116,-0.14701651495710116,1,0.7511297467614433,0.7511297467614433,43685,ELECTRICITY
264,-0.1487850045369415,-0.1487850045369415,1,0.4479674602073045,0.4479674602073045,3130,ELECTRICITY
251,-0.15020765603410058,-0.050069218678033524,3,0.6306987889469876,0.8050260644155912,62748,"COOLING, ELECTRICITY, HEAT"
174,-0.15063103695337776,-0.15063103695337776,1,-0.0986823200646105,-0.0986823200646105,6703,ELECTRICITY
382,-0.16593832113251117,-0.16593832113251117,1,0.868761240164252,0.868761240164252,43459,ELECTRICITY
867,-0.16737100293245605,-0.16737100293245605,1,0.0639209407583349,0.0639209407583349,19356,GAS
847,-0.1686425345499679,-0.1686425345499679,1,0.2484766394447646,0.2484766394447646,19381,ELECTRICITY
880,-0.1709463679587319,-0.1709463679587319,1,0.8373189661082526,0.8373189661082526,174609,ELECTRICITY
227,-0.1733820530980189,-0.08669102654900945,2,0.3827865816665096,0.40197240454357863,42008,"ELECTRICITY, GAS"
868,-0.17349540390042012,-0.17349540390042012,1,0.0592153813335802,0.0592153813335802,19344,GAS
191,-0.17356800982611756,-0.17356800982611756,1,0.8136904134438729,0.8136904134438729,45239,ELECTRICITY
302,-0.17418979728211892,-0.058063265760706306,3,-13314.88751081548,-4438.081716951167,147486,"ELECTRICITY, GAS, HEAT"
211,-0.1782917685332953,-0.1782917685332953,1,0.9090404030000732,0.9090404030000732,86255,ELECTRICITY
1,-0.17843609393603266,-0.05947869797867755,3,-199041.6774799941,-66346.70380316835,74140,"COOLING, ELECTRICITY, HEAT"
848,-0.18014986824069165,-0.18014986824069165,1,0.2980142784465673,0.2980142784465673,19382,ELECTRICITY
849,-0.18207777523656224,-0.18207777523656224,1,0.572318991249607,0.572318991249607,49975,ELECTRICITY
866,-0.1840452531169945,-0.1840452531169945,1,0.5630836802430199,0.5630836802430199,390139,ELECTRICITY
846,-0.1898678008680263,-0.09493390043401315,2,0.3358371675520629,0.599530882011172,129908,"ELECTRICITY, GAS"
1054,-0.1907265827654441,-0.1907265827654441,1,0.7483613123309705,0.7483613123309705,33621,ELECTRICITY
379,-0.19097473423238567,-0.19097473423238567,1,0.9145861191155772,0.9145861191155772,30027,ELECTRICITY
875,-0.19240868494583077,-0.19240868494583077,1,0.2830609767721967,0.2830609767721967,332400,ELECTRICITY
63,-0.19268094106246023,-0.09634047053123011,2,0.8537569561978513,0.8633225693497633,59866,"ELECTRICITY, HEAT"
965,-0.19384953453896542,-0.19384953453896542,1,0.0267669103923505,0.0267669103923505,4501,GAS
386,-0.19492800815154818,-0.06497600271718272,3,-3.0966214926586453,-0.46548197014958426,131071,"COOLING, ELECTRICITY, HEAT"
1041,-0.19668119735976214,-0.19668119735976214,1,0.6899417280080173,0.6899417280080173,103650,ELECTRICITY
881,-0.1988302157520305,-0.1988302157520305,1,0.9081670345747364,0.9081670345747364,135122,ELECTRICITY
1926,-0.19916819913324596,-0.19916819913324596,1,-0.0063743866701269,-0.0063743866701269,2250,GAS
213,-0.19944000378587357,-0.19944000378587357,1,0.0,0.0,9460,GAS
374,-0.20659771769210072,-0.20659771769210072,1,0.0697857254769187,0.0697857254769187,42773,GAS
266,-0.21495423265082103,-0.071651410883607,3,0.8551208688984551,0.9015310031872937,130130,"COOLING, ELECTRICITY, HEAT"
47,-0.21719797455783332,-0.10859898727891666,2,0.2602494291604084,0.587600895783492,36976,"ELECTRICITY, GAS"
964,-0.22856420773667546,-0.11428210386833773,2,0.0854980050336661,0.3426406848628985,4525,"ELECTRICITY, GAS"
48,-0.23302156453182074,-0.11651078226591037,2,0.0930393575693874,0.3070411097221165,11291,"ELECTRICITY, GAS"
290,-0.23451910035764284,-0.11725955017882142,2,0.4649340908996305,0.6295812862501026,42613,"ELECTRICITY, GAS"
1107,-0.24416590955866702,-0.08138863651955568,3,-0.2411688296543759,0.4676724479445887,136721,"COOLING, ELECTRICITY, HEAT"
229,-0.24538802312235652,-0.12269401156117826,2,0.5784329278009819,0.7041677381005211,34135,"ELECTRICITY, HEAT"
1320,-0.258995051124805,-0.258995051124805,1,0.3926076996689235,0.3926076996689235,48357,GAS
951,-0.26763992393473196,-0.13381996196736598,2,0.1948715130238525,0.5278771216375935,99809,"ELECTRICITY, GAS"
171,-0.2711487139597058,-0.1355743569798529,2,0.0,0.4450308380607396,86802,"ELECTRICITY, GAS"
864,-0.27398890174756085,-0.13699445087378043,2,-3.434738514231335e+27,-1.7173692571156674e+27,5519,"ELECTRICITY, GAS"
1037,-0.276111304359124,-0.138055652179562,2,0.2849744985744088,0.5840960078594504,69848,"ELECTRICITY, GAS"
189,-0.2772235989677684,-0.1386117994838842,2,0.5907036884564628,0.7592744262983698,141903,"ELECTRICITY, GAS"
76,-0.2789480792188608,-0.1394740396094304,2,0.7818391175927176,0.8252405709214474,229280,"ELECTRICITY, HEAT"
