buildingnumber,mean_residual,abs_mean_residual,std_residual,n_samples,residual_z,weather_ratio,weather_sensitivity_z,baseline_load_ratio,baseline_load_z,variability_cv,variability_z,size_tier,peer_z,composite_score,rank,utility
376,0.0010465113957660666,0.0010465113957660666,0.0022912595894769047,3032,7.691642818910061,1.044236818352147,0.18296537120640802,1.0161131592569044,-0.8930592229001584,0.19865123943829485,-0.1402630966368981,Medium (10k-50k sqft),2.999770885108204,2.594400243604964,1,COOLING
77,1.189895342457864e-05,1.189895342457864e-05,0.0007791593042958926,5144,-0.1228865946592942,1.481642984214817,2.6714543460712394,1.6024211717051675,2.405253693967313,3.2366712136369133,8.518482866312038,Medium (10k-50k sqft),-0.31628291574502254,2.2088056221949746,2,COOLING
388,0.0006698523106216157,0.0006698523106216157,0.0013127742717765302,3120,4.846699747195173,0.42583231315788045,-3.33525845206231,1.2199335285025144,0.2535451937720675,0.1348230525716245,-0.32218160278494223,Large (50k-150k sqft),6.942347616963358,1.8306921746272657,3,COOLING
147,-8.415362958947448e-06,8.415362958947448e-06,4.986781676951642e-05,5164,-0.1491984956614663,1.5216675917584708,2.899162143466453,1.5432926803833849,2.072622615181346,0.2509469483026584,0.008786370402338976,Large (50k-150k sqft),-0.15537030416988398,0.9276098129659882,4,COOLING
95,-8.133454263388996e-06,8.133454263388996e-06,7.927092101237995e-06,5164,-0.1513277797327044,1.0731498388195642,0.3474571828874492,1.585832715643321,2.3119342820916224,0.850303053094338,1.7170280201639434,Very Large (>150k sqft),0.6470752311783781,0.8410954467773512,5,COOLING
25,-5.229486935212366e-06,5.229486935212366e-06,1.3966514667699453e-05,5164,-0.1732617302376129,1.4369264770552468,2.417053416807723,1.3530007196412381,1.002123118728968,0.31899979058727357,0.20274568548371782,Large (50k-150k sqft),-0.1895571596639401,0.633835066909021,6,COOLING
11,-1.3431032935337853e-05,1.3431032935337853e-05,6.185301210591114e-05,5164,-0.11131464760860996,1.3725955740161462,2.051062364440707,1.2561121531880597,0.45707034195578655,0.20950039011254665,-0.10934162791716645,Large (50k-150k sqft),-0.10154837782646485,0.43659864613517096,7,COOLING
1109,-1.0946445446300627e-05,1.0946445446300627e-05,4.5070295592253474e-05,5164,-0.13008098099014814,1.541591145531856,3.012511126116053,1.0821681336415134,-0.5214627742581893,0.2886495922840921,0.11624373379668412,Medium (10k-50k sqft),-0.31933581514236936,0.4287215638726755,8,COOLING
276,-1.4525031915466544e-05,1.4525031915466544e-05,0.00033118081012575894,5164,-0.10305156584121633,0.9981584767904254,-0.07918329953821378,1.348603937079794,0.97738873951673,0.12165009084306294,-0.3597262305872498,Very Large (>150k sqft),2.085617154367027,0.40760925681030497,9,COOLING
150,-1.5036021254817066e-05,1.5036021254817066e-05,8.380562930139131e-05,5164,-0.09919201316336729,1.156540742600424,0.8218842963082432,1.4523550781035497,1.5610473648686882,0.1628505278369477,-0.24229970919427077,Large (50k-150k sqft),-0.08432564117918141,0.39783492573035834,10,COOLING
