buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
249,5164,9.701126694031355e-06,0.08843383144148605,0.023380107240445234,0.011690053620222617,High,Fisher Hall (0249),132056,COOLING
4,5164,1.4063793012948184e-05,0.0707671775397175,0.023825772534294964,0.011912886267147482,High,"Eighteenth Ave, 209 W (0004)",25034,COOLING
50,5164,1.3570817899487113e-05,0.09239844081805118,0.024854767411788763,0.012427383705894381,High,Thompson Library (0050),308820,COOLING
354,5164,2.0909364784064808e-05,0.07209408828254263,0.025837003461486853,0.012918501730743426,High,Rhodes Hall (0354),508398,COOLING
386,5164,1.5887461338077304e-05,0.10393076603221131,0.02639733076551226,0.01319866538275613,High,Wexner Center for the Arts (0386),131071,COOLING
254,5164,1.3708646148694193e-05,0.12551277104944342,0.02726101720195925,0.013630508600979625,High,Blackwell Inn (0254),127992,COOLING
1108,5164,2.343762498595581e-06,,0.02728663993081122,0.01364331996540561,High,Scott House (1108),169311,COOLING
18,5164,2.343762498595581e-06,,0.02728663993081122,0.01364331996540561,High,Campbell Hall (0018),115368,COOLING
870,5164,2.343762498595581e-06,,0.02728663993081122,0.01364331996540561,High,Medical Center Tower (0870),2010690,COOLING
67,5164,2.343762498595581e-06,,0.02728663993081122,0.01364331996540561,High,Pomerene Hall (0067),93504,COOLING
265,5164,2.343762498595581e-06,,0.02728663993081122,0.01364331996540561,High,MacQuigg Laboratory (0265),76345,COOLING
89,5164,2.2838867421966317e-05,0.08833951948781402,0.02736006078873121,0.013680030394365605,High,Doan Hall (0089),684497,COOLING
24,5164,1.4048707103925119e-05,0.15329915804466715,0.02858436110057361,0.014292180550286806,High,Postle Hall (0024),394592,COOLING
375,5164,2.6792656948218807e-05,0.10160952498131237,0.029003686819876542,0.014501843409938271,High,James Cancer Hospital (0375),1183561,COOLING
70,5164,3.202768992449071e-05,0.09752567939366924,0.02938524444128116,0.01469262222064058,High,Physics Research Building (0070),238732,COOLING
282,5164,2.7054251117028832e-05,0.12928190691647395,0.030273978008953706,0.015136989004476853,High,Galbreath Equine Center (0282),41121,COOLING
1101,5164,1.8129622144334604e-05,0.17732685912291168,0.031164205350309226,0.015582102675154613,High,Torres House (1101),127073,COOLING
266,5164,3.254030390263698e-05,0.11402687645670646,0.03130100855578967,0.015650504277894835,High,Riffe Building (0266),130130,COOLING
1025,5164,1.8457197970291835e-05,0.18882781739840665,0.031333593464914766,0.015666796732457383,High,"Theatre, Film and Media Arts Building (1025)",123378,COOLING
87,5164,1.737297148945768e-05,0.18659902381384186,0.03137518611006602,0.01568759305503301,High,Townshend Hall (0087),64406,COOLING
250,5164,2.8286025845192265e-05,0.12687252591398737,0.03141377894084264,0.01570688947042132,High,Gerlach Hall (0250),69508,COOLING
245,5164,1.984270902292209e-05,0.1692172900234174,0.03152345423522335,0.015761727117611674,High,Physical Activity and Education Services - PAES (0245),164672,COOLING
7,5164,2.6546924986703155e-05,0.151136408487272,0.03166967800748293,0.015834839003741465,High,Mathematics Tower (0007),61621,COOLING
1043,5164,3.2407706115809415e-05,0.11915437226543717,0.03181799577824648,0.01590899788912324,High,James Outpatient Care (1043),396764,COOLING
5,5164,2.11336487712016e-05,0.180107199607358,0.03183029193902448,0.01591514596951224,High,Eighteenth Avenue Library (0005),99181,COOLING
1103,5164,1.9065398190075088e-05,0.1895066123618367,0.03201871190644419,0.016009355953222094,High,Raney House (1103),134247,COOLING
1105,5164,2.2098140063378384e-05,0.19300983887302392,0.032861835541610825,0.016430917770805412,High,Busch House (1105),117017,COOLING
99,5164,1.763634702017991e-05,0.2173356179576997,0.03351805728404914,0.01675902864202457,High,Siebert Hall (0099),85851,COOLING
1107,5164,1.6567973911459284e-05,0.22399870438419725,0.03362167375394236,0.01681083687697118,High,Blackburn House (1107),136721,COOLING
353,5164,3.732592943345196e-05,0.11925864201054802,0.03381726661682348,0.01690863330841174,Medium,Ross Heart Hospital (0353),311590,COOLING
1104,5164,2.1863147231105943e-05,0.20740764844362491,0.033966999326785145,0.016983499663392573,Medium,Bowen House (1104),95448,COOLING
17,5164,2.7588981431689584e-05,0.1701028190626953,0.034164540355836666,0.017082270177918333,Medium,Knowlton Hall (0017),174422,COOLING
38,5164,2.514015043970754e-05,0.19898484432707075,0.034703744145807625,0.017351872072903812,Medium,Hamilton Hall (0038),284272,COOLING
294,5164,2.2015882375445576e-05,0.21734275296775485,0.035026676142786664,0.017513338071393332,Medium,Wilce Student Health Center (0294),65255,COOLING
