buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
1,5164,9.832012130868283e-09,0.29010710691053,0.022210964964261844,0.011105482482130922,High,Bricker Hall (0001),74140,HEAT
1103,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Raney House (1103),134247,HEAT
144,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Psychology Building (0144),132733,HEAT
182,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Haverfield House (0182),30311,HEAT
265,5164,0.0,,0.022400216333481004,0.011200108166740502,High,MacQuigg Laboratory (0265),76345,HEAT
187,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Mathematics Building (0187),28896,HEAT
18,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Campbell Hall (0018),115368,HEAT
42,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Hughes Hall (0042),60613,HEAT
78,5164,0.0,,0.022400216333481004,0.011200108166740502,High,Maintenance Building (0078),51202,HEAT
302,5164,3.724909738444746e-08,0.3049060344541756,0.022504535820582715,0.011252267910291358,High,Prior Hall (0302),147486,HEAT
254,5164,2.0855792721392217e-08,0.4322614172542672,0.0233344716150335,0.01166723580751675,High,Blackwell Inn (0254),127992,HEAT
3,5164,5.785234714099828e-08,0.6687294167796558,0.025426561105580642,0.012713280552790321,High,Agricultural Administration (0003),99238,HEAT
1044,5164,2.4200309862726397e-06,0.14176111794959206,0.034432283083629125,0.017216141541814563,High,Energy Advancement and Innovation Center (1044),66170,HEAT
160,5164,1.3378027921504543e-06,0.611579676621252,0.034795697046549875,0.017397848523274938,High,Student Academic Services (0160),137002,HEAT
17,5164,4.365762833765402e-08,1.939218852282866,0.03503673357099411,0.017518366785497053,High,Knowlton Hall (0017),174422,HEAT
852,5164,9.430587982150108e-07,1.216329205868508,0.035473497466627396,0.017736748733313698,High,Smith-Steeb Hall (0852),262198,HEAT
148,5164,8.064203484681474e-08,2.0615484567209643,0.036150904643295734,0.018075452321647867,High,Scott Laboratory (0148),262375,HEAT
88,5164,2.4542154033179137e-06,0.17246402794288554,0.03734981531099009,0.018674907655495045,High,Parking Garage - Tuttle Park Pl (0088),364069,HEAT
280,5164,3.2577687968065954e-06,0.011258870874585956,0.038861840776412054,0.019430920388206027,High,Baker Systems Engineering (0280),115386,HEAT
376,5164,3.3410804357033435e-06,0.17197728798019768,0.04533277683669702,0.02266638841834851,High,"Chilled Water Plant, East Regional (0376)",34246,HEAT
