buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
1018,5164,1.745429366939303e-06,0.010051880139846092,0.020007159089820578,0.010003579544910289,High,Fontana Laboratories (1018),124191,STEAM
353,5164,2.1352689413633025e-05,0.058113757974838406,0.023846431682043718,0.011923215841021859,High,Ross Heart Hospital (0353),311590,STEAM
180,5164,1.3850863060507463e-05,0.0975406689696411,0.02514150162906145,0.012570750814530724,High,Goss Laboratory (0180),67943,STEAM
89,5164,3.77803932438264e-05,0.05762942575437755,0.02566356669031393,0.012831783345156965,High,Doan Hall (0089),684497,STEAM
136,5164,2.8940212368321307e-05,0.09989309548833744,0.02672514831763581,0.013362574158817905,High,Veterinary Medicine Academic (0136),113459,STEAM
165,5164,2.218995547638192e-06,,0.028340254360871904,0.014170127180435952,High,Harding Hospital (0165),114199,STEAM
12,5164,5.826564243275364e-05,0.10425789422409341,0.029062000006009635,0.014531000003004817,High,Ornamental Plant Germplasm Center (0012),18280,STEAM
64,5164,3.794809830019652e-05,0.2086676239062473,0.03216841989481952,0.01608420994740976,High,Parker Food Science and Technology (0064),78629,STEAM
88,5164,4.941505544985051e-06,0.2850063515162708,0.03285291223133743,0.016426456115668717,High,Parking Garage - Tuttle Park Pl (0088),364069,STEAM
80,5164,7.636341075874576e-05,0.1634289750094378,0.03398586400083763,0.016992932000418817,Medium,Sisson Hall (0080),55501,STEAM
338,5164,4.929529672124888e-05,0.23600053688695657,0.03487490850059201,0.017437454250296004,Medium,Independence Hall (0338),15891,STEAM
248,5164,5.145878488113331e-05,0.33525816306075007,0.03894838271630106,0.01947419135815053,Medium,CBEC (0248),236537,STEAM
103,5164,3.0282636780727946e-05,0.3627649231643529,0.03912983475829163,0.019564917379145817,Medium,Paterson Hall (0103),64484,STEAM
297,5164,4.131696357208417e-05,0.444579746025159,0.04244057738773549,0.021220288693867745,Medium,Howlett Greenhouses (0297),41678,STEAM
157,5164,0.00017067189923745255,0.19236027049121596,0.04350021616280761,0.021750108081403804,Medium,Wiseman Hall (0157),82032,STEAM
190,5164,1.866899790735172e-05,0.5681704129986371,0.04721018274360941,0.023605091371804707,Medium,Morrison Tower (0190),111504,STEAM
282,3188,3.868196849632568e-05,0.12493377575089178,0.05373045214299541,0.026865226071497706,Medium,Galbreath Equine Center (0282),41121,STEAM
249,5164,0.00027489992241086297,0.13554647112822485,0.061165214886516245,0.030582607443258122,Low,Fisher Hall (0249),132056,STEAM
85,5164,6.131897615916627e-05,1.026695020914403,0.07025794689103271,0.035128973445516354,Low,Hale Hall (0085),47001,STEAM
41,5164,4.0486834998583364e-05,1.1206267756993473,0.07320938504412215,0.036604692522061076,Low,Lazenby Hall (0041),69893,STEAM
277,3976,0.00013711151496836776,0.8354756513790579,0.07998821103837034,0.03999410551918517,Low,Graves Hall (0277),219994,STEAM
276,3080,4.475014098176074e-05,4.397634594534256,0.24982986519435113,0.12491493259717557,Low,Biological Sciences Building (0276),180694,STEAM
69,5164,0.004118361380195433,0.11901367902310624,0.3369781998435818,0.1684890999217909,Low,McCracken Power Plant (0069),110142,STEAM
1044,5164,0.003999175711203781,0.8161013677505041,0.4838913659713905,0.24194568298569524,Low,Energy Advancement and Innovation Center (1044),66170,STEAM
53,5112,0.00595568400180044,0.11838234991062624,0.7032389689146454,0.3516194844573227,Low,McPherson Chemical Laboratory (0053),117661,STEAM
371,3752,0.006303976231377434,0.12653128915892242,0.7072578175672999,0.35362890878364994,Low,Celeste Laboratory of Chemistry (0371),110310,STEAM
