building,n_samples,rmse,mae,r2,mean_residual,std_residual
246,5164,6.884860951515452e-05,3.5141274558159026e-05,0.9812576709717284,-1.2458264467644815e-05,6.771861423000299e-05
69,5164,0.00041172112941466495,0.00029773111685377457,0.9766117060774177,2.741333265630848e-05,0.0004108472764466618
187,5164,2.511826733450262e-05,1.5435620031690213e-05,0.9750800111845396,-9.621443906061203e-06,2.3204728889267916e-05
276,5164,0.00033146714174588814,0.00022679329550337956,0.9686613594692581,-1.4525031915466544e-05,0.0003311808101257585
354,5164,2.0987830138862054e-05,1.4908665236471822e-05,0.9614065193520577,-1.8363391881444178e-06,2.0909364784064814e-05
280,5164,0.00029495030440887087,0.00021060627540532106,0.9605965256710649,-1.6547467275095945e-05,0.0002945142784225571
70,5164,3.21492560638606e-05,1.8072723107433275e-05,0.9590339034963756,-2.8284947902345884e-06,3.202768992449069e-05
89,5164,2.2933941332390673e-05,1.592833603975645e-05,0.9582453280742907,-2.110168139196676e-06,2.2838867421966297e-05
150,5164,8.513580545962339e-05,5.9663543130248595e-05,0.9561175137528868,-1.5036021254817064e-05,8.380562930139141e-05
375,5164,2.692835388875032e-05,1.8106900011592877e-05,0.9557790594184217,-2.725580045707954e-06,2.679265694821879e-05
353,5164,3.752617101832066e-05,2.666806069051781e-05,0.953916779351573,-3.9061872622523766e-06,3.7325929433451974e-05
371,5164,0.00016309845726841487,0.00011447699908260024,0.9532515332170913,-1.8861898430404645e-05,0.00016201981021110161
50,5164,1.3604958773348395e-05,9.847255931680077e-06,0.9523563459326836,-9.815642696120539e-07,1.3570817899487118e-05
249,5164,9.809276353935467e-06,6.693406951626858e-06,0.9518932261938631,-1.4588584780640463e-06,9.701126694031355e-06
7,5164,2.7571450798031134e-05,1.834956082902007e-05,0.9501028048532381,-7.4553433479697725e-06,2.6546924986703114e-05
136,5164,4.284978753492257e-05,2.937367944316351e-05,0.9493580339306014,-6.252541277101454e-06,4.239526005067135e-05
146,5164,5.215503390880345e-05,3.663583768696118e-05,0.9491178969679516,-7.732999886667947e-06,5.1583558878538884e-05
11,5164,6.328860002743881e-05,4.29355854661832e-05,0.9478909571228764,-1.3431032935337853e-05,6.185301210591121e-05
41,5164,0.0001520715569657004,8.960307818137658e-05,0.9468629243515483,-2.095035655341323e-05,0.0001506361016428277
180,5164,0.00012171972687238837,7.15000895385191e-05,0.9459142926730464,-1.6844102685726567e-05,0.00012056028679078112
1043,5164,3.249372765012839e-05,2.268790424833492e-05,0.9424343066094042,-2.4054733211618047e-06,3.240770611580939e-05
250,5164,2.8590980928991493e-05,2.00646305282487e-05,0.9402686198543513,-4.183284625260034e-06,2.8286025845192295e-05
80,5164,5.058638273423398e-05,3.23651875746176e-05,0.9383606878031228,-1.0230385680260525e-05,4.9545904919167744e-05
147,5164,5.0568131452279984e-05,3.475095889022179e-05,0.9368560465541547,-8.415362958947448e-06,4.986781676951641e-05
372,5164,5.0375215420679075e-05,3.213864488318928e-05,0.9353851366466271,-4.722229385569643e-06,5.015825025343101e-05
38,5164,2.5295835087909973e-05,1.7595040862899575e-05,0.933000762177773,-2.823915662937226e-06,2.5140150439707526e-05
17,5164,2.7879474033013714e-05,2.0649662364598572e-05,0.9325666468485787,-4.032439921005169e-06,2.758898143168956e-05
165,5164,3.4174659624851805e-05,2.3059520583744563e-05,0.9302857655060998,-7.291911682548355e-06,3.3390886375618394e-05
1040,5164,3.8628738709096494e-05,2.5784766724999916e-05,0.9299363060795004,-5.1343571219159705e-06,3.828970800829509e-05
299,5164,4.054845629331331e-05,2.8362737843597124e-05,0.9297357163567442,-3.981842250814019e-06,4.0356382680113656e-05
53,5164,3.945235667004237e-05,2.837709338368402e-05,0.929614770921388,-4.963924197362278e-06,3.914261872477868e-05
254,5164,1.3782747818507293e-05,1.0483220405279891e-05,0.9288117212859895,-1.4399826196929385e-06,1.3708646148694215e-05
26,5164,0.00012342270290904625,8.85158461927295e-05,0.9281704442986927,-3.651315821714288e-06,0.00012338062794464396
1110,5164,4.7797099159354843e-05,3.088931764510047e-05,0.9270181253511702,-5.629490516224462e-06,4.746902014887303e-05
24,5164,1.4118365606250536e-05,9.633373214665406e-06,0.9249235885645599,-1.4143181149457432e-06,1.4048707103925124e-05
1109,5164,4.637631775714005e-05,3.4215417757596864e-05,0.924449976099376,-1.0946445446300627e-05,4.5070295592253474e-05
148,5164,3.7050776916980056e-05,2.5605274172892583e-05,0.9236001780042976,-4.984350276831933e-06,3.6717535249209525e-05
245,5164,1.9853741962708393e-05,1.396492952521902e-05,0.9225563999464133,-7.170873815795865e-07,1.9842709022922098e-05
1025,5164,1.8539295137021904e-05,1.1207511132986259e-05,0.9203451114676608,-1.7616120697544902e-06,1.8457197970291845e-05
72,5164,2.858909361264736e-05,2.01048730820731e-05,0.9200956908117163,-5.230056690513681e-06,2.8109354120762205e-05
266,5164,3.2537182803632085e-05,2.2051940594427584e-05,0.9198293310902452,-4.399318066606482e-08,3.254030390263699e-05
294,5164,2.277940009378114e-05,1.560438061205346e-05,0.9180575834995902,-5.856266133989357e-06,2.2015882375445593e-05
4,5164,1.406293712701611e-05,1.0335527631617339e-05,0.9174918327406181,1.1928321133175313e-07,1.4063793012948188e-05
252,5164,7.202393901639243e-05,2.7801588670217885e-05,0.9154654711424463,9.150854281250662e-07,7.202509967433851e-05
87,5164,1.737129034686106e-05,1.1297001549494938e-05,0.9135109058874777,-6.075244089217984e-09,1.7372971489457686e-05
1106,5164,4.6425231647275326e-05,3.03762987932304e-05,0.9124497461505803,-5.967666219799036e-06,4.604453981915938e-05
1101,5164,1.8129722698073103e-05,1.154166380929291e-05,0.9111051730070194,-2.594127344670144e-07,1.8129622144334597e-05
274,5164,2.206936405918598e-05,1.6484352009597164e-05,0.9068321223671352,-5.578966956910516e-06,2.135463100209199e-05
388,3120,0.0014736098678037027,0.001072570494432095,0.8991846274953,0.0006698523106216157,0.0013127742717765323
65,5164,2.733002236315876e-05,1.7852716803872773e-05,0.8988727083595779,-6.364522727822452e-06,2.65811925418289e-05
251,5164,3.56794690801901e-05,2.6414984247295565e-05,0.8961368610988676,-4.72212681237838e-06,3.536902995752322e-05
1064,5136,3.0041042656131654e-05,1.9620797498335045e-05,0.8931805900593106,-4.869326003445639e-06,2.9646669937856032e-05
144,5164,9.590112470542757e-05,6.171605272449048e-05,0.8900956044012358,-1.59402547328084e-05,9.457624500114589e-05
293,5164,2.7382996311804996e-05,1.8874846258380614e-05,0.8895406218747057,-6.687209011060866e-06,2.655647364438171e-05
25,5164,1.4912186018170179e-05,1.2007354468709863e-05,0.888354476014803,-5.229486935212366e-06,1.3966514667699451e-05
1044,5164,0.00010967529249353652,7.819879380044366e-05,0.884803166452602,-1.5553043643642054e-05,0.0001085774173018285
1105,5164,2.218782923304289e-05,1.2204371765963602e-05,0.8807287324044571,-2.016565317090667e-06,2.209814006337839e-05
253,5164,4.6369808026559226e-05,3.1072314305193976e-05,0.8790880782155548,-2.6744629502064647e-06,4.6297099416002436e-05
1103,5164,1.91319077497603e-05,1.094205009448103e-05,0.8710878800466393,-1.615820261588847e-06,1.9065398190075088e-05
386,5164,1.592449525592204e-05,1.1800876117052784e-05,0.8705953408045694,-1.107700518917321e-06,1.5887461338077314e-05
337,5164,2.4359589354990186e-05,1.680469053086838e-05,0.8694220164115265,-7.542143859466334e-06,2.3164834838544378e-05
1107,5164,1.6672674310994638e-05,1.0247623157574879e-05,0.8581095886443694,-1.8797513622009911e-06,1.656797391145928e-05
1104,5164,2.191876429560727e-05,1.2896012892909794e-05,0.8490596809769155,-1.5898379667229455e-06,2.1863147231105946e-05
46,5164,3.306329647309682e-05,2.1016622697110733e-05,0.8468265985912937,-3.1372347833952093e-06,3.291730789526826e-05
1102,5164,2.4739555016721802e-05,1.2589467660523543e-05,0.8409734342828439,-1.8346587008537392e-06,2.4673822210984443e-05
99,5164,1.789604708054908e-05,1.1956456128008613e-05,0.8385906128718704,-3.0476215994754933e-06,1.7636347020179897e-05
282,5164,2.7056840653412025e-05,1.7105372947152713e-05,0.8300960238610853,-5.309050303350502e-07,2.7054251117028825e-05
851,5164,1.4165167309855143e-05,9.901542358213352e-06,0.8243449696466763,-2.815912839605144e-06,1.388380090014495e-05
55,5164,3.802830654119576e-05,2.834645694845146e-05,0.8155778377100737,-2.006748963345454e-06,3.797899914682546e-05
852,5164,1.593851658736027e-05,1.0871150680499031e-05,0.7994074626060617,-2.2617176230303733e-06,1.5778756505562516e-05
248,5164,0.0001352558641230201,0.00010001095228808954,0.7750434455098022,-4.335694954875125e-06,0.0001351994460253822
160,5164,8.511015006196337e-05,4.530275023505489e-05,0.765447654508763,-8.464767195054048e-06,8.469636645861597e-05
338,5164,7.466971412798457e-05,4.740359597119685e-05,0.7515592604414739,-8.810211717973623e-06,7.415531843239843e-05
1,5164,1.529257091315631e-05,9.956603149179877e-06,0.7390513466523907,-4.970052809648114e-06,1.446381041723363e-05
1018,4344,0.0009752753490265834,0.0005696750687077507,0.6080873286839306,0.0001598031778032467,0.0009622048020542384
5,5164,2.1336730357981894e-05,1.2217475858677029e-05,0.5462651252922314,-2.9515150949017597e-06,2.1133648771201593e-05
77,5144,0.0007791744269824857,8.619565245519523e-05,0.43117485737810457,1.1898953424578637e-05,0.0007791593042958926
376,3032,0.002518595862818028,0.0015925903867557044,0.23289844057277065,0.0010465113957660666,0.0022912595894769047
127,5164,8.639097358555437e-05,1.876927872202039e-05,0.13494053316100107,-3.847270309152514e-06,8.631362300564605e-05
1108,5164,1.5529628451263096e-05,1.5351781686106505e-05,0.0,-1.5351781686106505e-05,2.34376249859558e-06
265,5164,1.5529628451263096e-05,1.5351781686106505e-05,0.0,-1.5351781686106505e-05,2.34376249859558e-06
