building,n_samples,rmse,mae,r2,mean_residual,std_residual
156,5164,2.382960050419259e-05,2.0251627245705964e-05,0.4760442899480729,-7.82439646172168e-06,2.2510593217449832e-05
222,5164,3.650848787205085e-05,3.0879189533541436e-05,0.4711958204762964,-9.597230531511422e-06,3.522787491498801e-05
12,5164,2.965267992124155e-05,2.5053756071311508e-05,0.46586214957628,7.527840371458819e-06,2.8684009035584704e-05
158,5164,0.0002352054535225171,8.687715644475076e-05,0.46414463711400167,5.325077229580832e-05,0.0002291203317125857
211,5164,4.3146385575057854e-05,3.579155382803389e-05,0.4563008757369724,2.952970040952661e-06,4.30493836749783e-05
846,5164,2.366727401517052e-05,1.8139559614022372e-05,0.4428931476787523,-7.215891270919445e-06,2.2542608069843557e-05
47,5164,3.8532313061108744e-05,3.5934861129004494e-05,0.44024405726585514,1.3456879261586638e-05,3.6109611590627964e-05
29,5164,0.000684895292029295,0.00038647831916719354,0.43999611252671267,0.0002446455497951199,0.0006397729113433529
311,5164,6.927773506754968e-05,6.513557746975255e-05,0.42922873625839086,-1.98499958587392e-05,6.637948102135408e-05
1004,5164,4.2989327185846604e-05,3.762901366808536e-05,0.4165329466976866,5.478302116928423e-06,4.2642966504619165e-05
81,5164,2.4849984870542988e-05,1.9954694668710524e-05,0.41460289871242895,-9.01806194541529e-06,2.3158155376622668e-05
59,5164,3.945326943878029e-05,3.281686781310912e-05,0.4055309646146401,1.5778644758685194e-05,3.616418257883104e-05
1006,5164,3.866108929727615e-05,2.9104423826088192e-05,0.391562000052352,8.754484059147469e-06,3.766050303109516e-05
268,5164,1.7680954566490007e-05,1.438049331688384e-05,0.35034220306670005,-9.715995411275636e-06,1.4773552477994994e-05
297,5164,6.398866374995285e-05,4.889587419657829e-05,0.3477265172841759,3.670948798836717e-05,5.2416549179582006e-05
264,5164,5.681714687886898e-05,3.488945024669018e-05,0.34699910818510693,2.8864983133055594e-06,5.674927266072036e-05
360,5164,2.197914965683824e-05,1.738252551907319e-05,0.34477591204771807,1.2981595562544597e-06,2.194290412280221e-05
136,5164,7.008326837163594e-05,5.480570238623543e-05,0.3427015008078692,4.789153022113338e-05,5.117199352198681e-05
189,5164,2.6509671666392795e-05,2.1292756783714412e-05,0.337131184145417,-1.8033377890754426e-05,1.9432784199142634e-05
385,5164,3.978635244503343e-05,3.319224847552492e-05,0.3294670267548352,-2.171135920622505e-05,3.3343455396966463e-05
144,5164,5.2272862260311285e-05,2.7709327783096406e-05,0.3248459286697165,-2.338376430486978e-05,4.675548123597753e-05
340,5164,1.605114128200139e-05,1.3254220176918056e-05,0.31722895351468916,-7.383798875707341e-06,1.4253350196520627e-05
290,5164,6.193688411505634e-05,4.4349561974907546e-05,0.3080373412672779,3.2729713467713374e-05,5.258782178989929e-05
227,5164,3.808484068554418e-05,3.0427858976464497e-05,0.3019564915002809,-4.888814710960404e-06,3.777341504536878e-05
270,5164,2.0708733017229593e-05,1.733560542931552e-05,0.2854154796930136,-1.3195443424145214e-05,1.5961868123146854e-05
1106,5164,8.06535861408756e-05,7.114074876122984e-05,0.26455958527263057,5.070148905934507e-05,6.273055072585849e-05
61,5164,4.3596646721933724e-05,4.0615224892085806e-05,0.26236275975186263,-2.4949795486032397e-05,3.575503985542393e-05
231,5164,6.854213737600999e-05,4.274100775939034e-05,0.24226765654201143,-2.1529366349820153e-05,6.507942182802457e-05
375,5164,9.818114415442542e-06,7.124733836217061e-06,0.22771803616945896,-1.7342608616099902e-06,9.664667496391155e-06
149,5164,3.2954865274664185e-05,2.8242307328953043e-05,0.22708576718567408,-1.8478571244057023e-05,2.728937085853644e-05
261,5164,3.500495246128933e-05,2.8518022963790297e-05,0.22701486094162637,-2.3952208356118437e-05,2.5529681251758292e-05
304,5164,0.00030401993345590235,9.583665055959587e-05,0.2208090611354273,1.8439037875899053e-05,0.00030348963406698993
