building,n_samples,rmse,mae,r2,mean_residual,std_residual
136,5164,9.832013914565594e-06,5.308386996288405e-06,0.9870634367780632,-1.3791768368465545e-06,9.73574464398198e-06
157,5164,1.599315577515288e-05,1.1069979187304966e-05,0.962295490916079,-1.2607142871765683e-07,1.599420756802582e-05
295,5164,2.5433616668112603e-05,1.6740498051154974e-05,0.9576066311164397,-4.908796801306263e-06,2.495782829120868e-05
180,5164,3.722871274689997e-05,1.7700740592860746e-05,0.95705693395911,-2.8876632998756147e-06,3.712014658539179e-05
363,5164,1.6543102389790498e-05,1.0711827736797286e-05,0.9554031646459309,-2.0645110000134542e-06,1.641536512861866e-05
308,5164,2.7642481652490848e-05,1.3328652286350266e-05,0.9523967001933246,-2.3314474821086877e-07,2.7644175183456495e-05
54,5164,9.028149018105417e-06,6.4072390602824745e-06,0.9491456387329429,-1.2073882789217202e-06,8.94791555214249e-06
113,5164,1.2361389047409472e-05,8.72729753673652e-06,0.946281498184568,-2.06165513975207e-06,1.218943353807542e-05
24,5164,3.7706871623501884e-06,2.816251188312839e-06,0.9461670870353031,-1.0441685303726999e-06,3.623580608220748e-06
260,5164,5.1733347533977254e-06,4.239841525350509e-06,0.9387868208888602,-1.4684173429871563e-06,4.961039108163064e-06
1106,5164,2.3517329141151253e-05,1.7176151500285305e-05,0.9374717718820449,-5.31704239407619e-06,2.291059744414082e-05
147,5164,1.0985969354043178e-05,8.26773519965824e-06,0.9335635776137483,1.4224419423908642e-06,1.0894547531454313e-05
297,5164,2.086335370677679e-05,1.4559508037642041e-05,0.9306587154098409,-3.7821282548402664e-06,2.0519663025052505e-05
112,5164,2.0761418867735293e-05,1.2407078140063906e-05,0.9282219219729885,2.533341946897619e-07,2.076188354718299e-05
881,5164,4.543449787643346e-06,3.269941334712923e-06,0.927981459838868,-6.459447447961022e-07,4.497733739291251e-06
277,5164,7.087964364699784e-06,5.314108683220332e-06,0.9264159454770005,-1.240827819544817e-06,6.979184592603407e-06
65,5164,3.0346309876796724e-06,2.3359075107515447e-06,0.9255352183781862,-1.1928473271331448e-06,2.7906287003043e-06
250,5164,7.4403298079059966e-06,5.591364772282025e-06,0.9249959449393095,-1.0815362496216058e-06,7.362016204273167e-06
379,5164,9.707488905529775e-06,7.48273801619847e-06,0.9249950288931125,9.434199967527852e-07,9.662472728220877e-06
1108,5164,8.188015237631686e-06,5.981657260042763e-06,0.9234927901878602,-1.3643030250630233e-06,8.07433561789855e-06
189,5164,9.083902745126027e-06,6.881446912863979e-06,0.9221669870420238,-2.943145805940358e-06,8.594735979128969e-06
163,5164,1.680285255432204e-05,8.696779373341449e-06,0.9216948829331597,-3.506341962031873e-07,1.6800820523642302e-05
211,5164,1.6719162447575198e-05,1.1557739255831624e-05,0.9183607834984494,-2.5959992391641597e-06,1.6517990697663914e-05
294,5164,4.394154446726018e-06,3.2508679178621466e-06,0.9171979596620609,-1.144684071651185e-06,4.2428501849653425e-06
376,3396,0.0003305412662461489,0.0002584149145130999,0.9135611371951426,3.9591057709681456e-05,0.00032820998924530046
995,5164,2.172307257700169e-05,1.4231125501448633e-05,0.913424752684806,-1.90255025846077e-06,2.164169314984132e-05
144,5164,1.8746528228865274e-05,9.018783485176824e-06,0.913165555741691,-6.31259376934889e-06,1.765343677155998e-05
38,5164,3.445801430898858e-06,2.7193546987178875e-06,0.9124163169382076,-1.5382445461437633e-06,3.083697886753044e-06
72,5164,1.0215590444256506e-05,7.123135904490068e-06,0.9111335535821538,-2.0104636605358783e-06,1.0016773624580176e-05
276,5164,5.63379749276575e-06,3.846852993210928e-06,0.9100796825735419,-7.655497794355638e-07,5.582082204467232e-06
921,5164,5.298601576204661e-06,4.195393325862766e-06,0.9078413453228911,-1.6700532374354615e-06,5.02901564992717e-06
84,5164,1.0702784767340779e-05,7.715352783630396e-06,0.9068799066492103,-2.8982922939591638e-06,1.0303885830633338e-05
232,5164,1.0022732442590232e-05,7.548184213108111e-06,0.9068533537190654,-2.110336680486127e-06,9.798991727218315e-06
