epoch,total_epochs,train_loss,val_loss,r2,lr,patience,max_patience
1,100,0.986188,0.658112,0.0426,0.001,0,999
5,100,0.657433,0.455991,0.3365,0.000996,0,999
10,100,0.464757,0.474707,0.3095,0.00098,3,999
15,100,0.381099,0.292151,0.5758,0.000952,1,999
20,100,0.332421,0.244145,0.6455,0.000914,0,999
25,100,0.32458,0.243431,0.6466,0.000864,1,999
30,100,0.318752,0.234416,0.6594,0.000806,0,999
35,100,0.28924,0.22705,0.6702,0.000741,1,999
40,100,0.279604,0.21896,0.6818,0.000669,0,999
45,100,0.273649,0.214127,0.6887,0.000594,1,999
50,100,0.262153,0.209266,0.6959,0.000516,1,999
55,100,0.24781,0.203996,0.7035,0.000437,0,999
60,100,0.241905,0.198731,0.7111,0.000361,3,999
65,100,0.234267,0.195401,0.7155,0.000287,1,999
70,100,0.227585,0.193221,0.7186,0.000219,6,999
75,100,0.225593,0.188712,0.7252,0.000158,0,999
80,100,0.229911,0.188084,0.7261,0.000105,0,999
85,100,0.224827,0.190493,0.7226,6.18e-05,2,999
90,100,0.217214,0.186381,0.7286,2.96e-05,1,999
95,100,0.221713,0.187812,0.7265,8.86e-06,6,999
100,100,0.216006,0.18786,0.7264,2.47e-07,11,999
