building,n_samples,rmse,mae,r2,mean_residual,std_residual
136,5164,1.076782811826825e-05,6.306957079560009e-06,0.9844836282806277,-3.7328318477262367e-07,1.076239806839416e-05
295,5164,2.651120249829896e-05,1.7496369939828584e-05,0.9539382386065094,-1.9054175633936544e-06,2.6445201256940707e-05
157,5164,1.7800155962347765e-05,1.2412432380802714e-05,0.9532940111809594,3.8103893974677695e-07,1.7797800481698964e-05
180,5164,3.94478985879543e-05,2.0174524811455382e-05,0.9517847131226009,-2.591838549030972e-06,3.9366472746220794e-05
308,5164,2.877945984120861e-05,1.4043146339746543e-05,0.948400169448682,-1.0772503608369788e-07,2.878204515899721e-05
363,5164,1.7995863334500118e-05,1.1528862963837527e-05,0.9472265484896656,-1.785708786954431e-07,1.7996719945351513e-05
54,5164,9.646510266924802e-06,6.978298417846535e-06,0.9419407758736573,-5.9381368499526086e-08,9.647261630485434e-06
65,5164,2.709136364214296e-06,1.992976231836586e-06,0.9406527123371944,-1.8267021109334338e-07,2.703232604236612e-06
260,5164,5.101391983059144e-06,4.087479504703279e-06,0.9404775000905979,-1.6639444171641386e-06,4.822861536514786e-06
113,5164,1.3512598987485775e-05,9.52570485788849e-06,0.935810038005868,-4.3478856382245207e-07,1.350691004074527e-05
144,5164,1.666386547970542e-05,8.435343124617415e-06,0.9313877232047987,-5.386043977897564e-06,1.5770957732791033e-05
24,5164,4.280409428468895e-06,3.3013099480660425e-06,0.9306290726867836,-7.242546998340197e-07,4.219100271591559e-06
147,5164,1.1804722107943342e-05,8.816547841376773e-06,0.9232919386352413,1.2977470226042792e-06,1.1734307858633214e-05
112,5164,2.1504002714555288e-05,1.30611347530904e-05,0.9229954519076836,-7.555002825712276e-07,2.1492808242257214e-05
189,5164,9.04676238710179e-06,6.875267812269474e-06,0.9228021405680196,-2.005195537149937e-06,8.822594503840475e-06
297,5164,2.223038268520266e-05,1.555495399509314e-05,0.9212741208919881,-7.371471445936977e-07,2.2220309195892567e-05
11,5164,2.1244535682019228e-06,1.6822483893617841e-06,0.9206724093925932,-5.120340499217948e-07,2.062025091436701e-06
1106,5164,2.6511816496361862e-05,1.9382400654712215e-05,0.9205344127150366,-2.5101766067242734e-07,2.6513195376574777e-05
97,5164,1.3846920871992095e-06,1.118748200505011e-06,0.9203724535027653,-6.394749843025206e-07,1.228306185376288e-06
379,5164,1.0105338674921865e-05,7.625624111939113e-06,0.9187210679157743,2.2625870087481646e-07,1.0103783727165246e-05
277,5164,7.556168446685416e-06,5.575537697521783e-06,0.9163734991832141,-4.928246015502158e-07,7.540810108355142e-06
163,5164,1.7550604816571313e-05,9.012794617295933e-06,0.9145704172754356,6.115611557304233e-07,1.754164501338584e-05
388,3496,0.00038426189121436023,0.0002970705518563744,0.913928963787608,0.00011632445653487007,0.00036628431353040875
47,5164,1.5122532343063115e-05,1.1005229310432466e-05,0.9137820689789344,-3.541626193763031e-06,1.4703391892771863e-05
50,5164,3.980103395814817e-06,3.1173550503141766e-06,0.9136555636039257,-1.040064252249261e-06,3.842180122885169e-06
176,5164,4.0078073902979395e-06,3.133197258356545e-06,0.9129800042488087,-1.6791326261101038e-06,3.6394503279735458e-06
1108,5164,8.848310059220307e-06,6.592607916948906e-06,0.9106559275316178,-1.1397989207677563e-07,8.848432693895893e-06
881,5164,5.097999728228139e-06,3.7406261674184067e-06,0.9093281526258407,-2.6865556896073006e-07,5.091408965368342e-06
84,5164,1.0602439540325275e-05,7.652557673748173e-06,0.9086178381285244,-1.9906490972766115e-06,1.0414895362960549e-05
38,5164,3.5246034283653675e-06,2.74320270190008e-06,0.908364610793901,-1.23849077753147e-06,3.300163474817174e-06
211,5164,1.783079675223897e-05,1.2301817725382966e-05,0.9071437175706483,-4.108666149337452e-07,1.7827788665564042e-05
30,5164,1.0009776600275261e-05,6.650923277772891e-06,0.9055426276773568,-7.708523996004193e-07,9.981017260238162e-06
995,5164,2.2838534697955434e-05,1.455786518275441e-05,0.9043053391836201,5.601096977263677e-07,2.283387636362592e-05
250,5164,8.441261665919255e-06,6.256585537253195e-06,0.9034582657985218,-2.930649874491225e-07,8.436989738972111e-06
60,5164,7.550587049486643e-06,5.69580695144996e-06,0.9025039809976707,-1.7696741092012728e-06,7.34098454284705e-06
232,5164,1.0273014255240907e-05,7.686295195749395e-06,0.9021432629720605,-1.5117388366365066e-06,1.01621585078273e-05
294,5164,4.786136528326136e-06,3.4471557990785374e-06,0.9017662847806824,-7.502136839124333e-07,4.7274316565518965e-06
275,5164,7.650881991325889e-06,5.528205677494585e-06,0.9015852614757258,-1.5327810811798103e-06,7.496496511497946e-06
303,5164,1.1490846112151898e-05,7.87835383726564e-06,0.9004130675445341,-1.3208448080300966e-06,1.1415785108620578e-05
1103,5164,6.042729849622206e-06,4.708662248060849e-06,0.9002934418127053,-1.559878502769389e-06,5.838489887771093e-06
25,5164,3.8729376014293374e-06,3.0200947674151095e-06,0.9001629702890881,-2.3594859325450515e-07,3.866117996398016e-06
850,5164,6.378634794619864e-06,4.8237050412115194e-06,0.8996398402413648,-1.130340359189299e-06,6.2782916100945055e-06
921,5164,5.533534672865263e-06,4.257165608335792e-06,0.8994877791955829,-1.2361589749265727e-06,5.394214646909277e-06
161,5164,1.101543741353609e-05,7.915335304667686e-06,0.8984191335061811,-9.649625562633815e-07,1.0974152820997712e-05
276,5164,6.020476209205153e-06,4.1957132185249815e-06,0.8973126240671254,4.777079184048592e-08,6.020869676216005e-06
132,5164,2.5234236606771132e-05,1.890400152466439e-05,0.8967436178649459,-5.865333682001645e-08,2.5236612073332685e-05
90,5164,6.410533612380675e-06,4.392100122854357e-06,0.8958745328880514,-9.311536902591609e-07,6.343160535102597e-06
66,5164,4.257936554661514e-06,3.376419429569292e-06,0.895432165726683,-9.087513528483478e-07,4.160233918871472e-06
14,5164,1.4424142197072591e-05,9.077919556459914e-06,0.8941224549690184,-1.3430685637690603e-06,1.436286855246148e-05
171,5164,2.2468731934590786e-05,1.4888724127770544e-05,0.892703207141823,1.3822533347491395e-08,2.2470903514713255e-05
72,5164,1.1267289451657142e-05,8.02027323344383e-06,0.8918940070328447,-6.068813816935762e-07,1.1252023107378398e-05
299,5164,2.030983198935569e-05,1.4754541335128943e-05,0.8916840356653576,5.731542706609241e-07,2.030370900410569e-05
73,5164,8.686482489851696e-06,6.153392374896093e-06,0.8916800898146795,2.9287312333239765e-08,8.687274296039365e-06
131,5164,1.3607085425734598e-05,8.298757508738097e-06,0.8900508289837561,-1.9867003210161722e-07,1.360695255476604e-05
339,5164,3.486250711670747e-06,2.5638978296133016e-06,0.8900313894292899,-9.96136138449571e-07,3.3412301137745186e-06
156,5164,1.0998047895917701e-05,8.52352372850817e-06,0.8883927858360048,-1.304621479158612e-06,1.0921452207741822e-05
1011,5164,1.2206934244196264e-05,9.147909932301507e-06,0.8881388440767177,-1.1425396294353393e-06,1.2154524054078721e-05
