building,n_samples,rmse,mae,r2,mean_residual,std_residual
193,5164,6.22891385639461e-05,3.634477033156894e-05,0.8069843128534253,5.744908430161231e-06,6.202965344564098e-05
56,5164,5.640759013302341e-05,3.58408042854678e-05,0.7201981332366807,6.3203231208363615e-06,5.6057811908315795e-05
260,5164,6.0121744638522036e-05,3.863875016774084e-05,0.6274382660787656,4.5747693645531846e-06,5.9953246047313735e-05
357,5164,4.688890252677698e-05,2.219725004051609e-05,0.5935461107999382,4.985816037465247e-06,4.662758663726194e-05
189,5164,2.4529913206770588e-05,1.783032440358617e-05,0.5907036884564628,2.316967989096056e-06,2.4422608490736603e-05
263,5164,4.698027400908353e-05,3.727910466395838e-05,0.5134600420164354,5.538113589118775e-06,4.665722876811881e-05
362,5164,0.00019990662468473717,0.00011797238876569858,0.5077658798987923,4.6406599118548855e-05,0.0001944644163742165
311,5164,5.1190208029947384e-05,3.831276173011513e-05,0.4890554203018831,-1.0245924875187637e-06,5.118490936474465e-05
921,5164,1.9414304981635504e-05,1.2643906998091518e-05,0.4838838149153668,1.773975854502242e-06,1.9334959043276622e-05
1006,5164,4.513259506655218e-05,3.4908570985187285e-05,0.46781224758465456,1.1055118467028726e-06,4.5123422663612885e-05
290,5164,6.702086611511265e-05,2.8123858543986855e-05,0.46493409089963056,4.263019283526027e-06,6.689162607438246e-05
878,5164,5.520664652257335e-05,3.902147801280882e-05,0.4545685430821731,3.651673880114136e-06,5.509107755373871e-05
932,5164,1.6496103966254516e-05,5.894738634929465e-06,0.4242428291285213,1.3310084006132108e-07,1.649716438882258e-05
270,5164,7.882960951009843e-05,5.063315025671386e-05,0.4142143827458846,1.617997290271606e-05,7.715872401536559e-05
358,5164,0.0001520266211413932,0.00010886601373876148,0.39948695844519944,3.4853254781123235e-05,0.00014799184224937467
89,5164,3.2069582335536423e-06,2.6967483946681785e-06,0.39739131882625967,-1.0292490300068004e-06,3.0376000957908255e-06
284,5164,4.310259510109906e-05,2.879472488689991e-05,0.3968109194413669,2.661347402327485e-06,4.302452090036193e-05
306,5164,7.708102268097582e-05,6.546908247207894e-05,0.3952626532274556,2.961129212053919e-06,7.703158348613617e-05
1320,5164,0.00011304228448491327,7.772125941738655e-05,0.3926076996689235,1.238765026641289e-06,0.00011304644298399844
156,5164,5.2768453619590594e-05,3.629226931871342e-05,0.389406604496479,1.4719340967920358e-06,5.2753028423815325e-05
1108,5164,7.463163129930374e-05,5.882957522779044e-05,0.3845529098327972,-1.3882687423171544e-07,7.463872936172043e-05
227,5164,6.204640419153672e-05,4.724211016192579e-05,0.3827865816665096,5.059523492429457e-06,6.184576121523465e-05
105,5160,5.0565015604915825e-05,3.59992982783345e-05,0.36452140006466904,5.2278239058693615e-06,5.0298916158536674e-05
161,5164,2.0533437740312146e-05,1.764630160321715e-05,0.35669312235528605,-2.314135847780498e-06,2.0404594230384774e-05
846,5164,2.9492817675855466e-05,1.875256223553866e-05,0.33583716755206294,4.229425881142742e-06,2.9190807792082655e-05
381,5164,2.459056548003647e-05,2.0101038187296945e-05,0.3244906247744229,2.0104090653669927e-06,2.4510620233390388e-05
253,5164,4.3293687208648216e-05,3.7325095688741726e-05,0.3175193897148306,1.6338621435566084e-06,4.326703552752649e-05
350,5164,3.397736717825658e-05,2.4641531381025777e-05,0.3155447765644066,2.9009346709484806e-06,3.3856580324897704e-05
995,5164,4.685527661655978e-05,3.821013170821125e-05,0.30974908122217026,2.6171497703720353e-06,4.6786658017289266e-05
304,5164,0.00012910750354728232,5.814877379927968e-05,0.29186858745300104,7.913306376105613e-06,0.00012887724169186377
1037,5164,8.652496071074125e-05,5.510396525252366e-05,0.2849744985744088,2.7831661069212364e-06,8.64885619865826e-05
394,5164,0.0001588755585927209,0.0001313121728584153,0.2757581360896805,8.895157942095844e-06,0.0001586417122585368
47,5164,6.369705845791949e-05,4.7058505691617266e-05,0.2602494291604084,1.953533374925103e-06,6.367326023459693e-05
931,5164,3.2550412771442445e-05,1.2769352844090779e-05,0.21867255669637076,2.8096528352200327e-07,3.2552352152323635e-05
149,5164,2.0804055515369665e-05,1.3610234233347569e-05,0.20824877801112163,1.1328742220135905e-06,2.0775199210327823e-05
373,5164,3.307151774177581e-05,1.8636328050065336e-05,0.20308284946846022,1.639115094240379e-06,3.3034071898260074e-05
299,5164,2.8951927911454262e-05,1.0234222220576127e-05,0.19692342502322613,-5.053071844991347e-07,2.8950321158730444e-05
354,5164,4.722103732740092e-06,4.009922552257182e-06,0.19640061247870955,1.1692654811689302e-07,4.721113010194612e-06
951,5164,2.530288500187338e-05,1.7940757432986382e-05,0.19487151302385253,2.6236970057066745e-06,2.516892677081812e-05
267,5164,0.00011473915034689588,7.553643631724101e-05,0.1894823879846994,3.201522072095385e-06,0.00011470558304498247
226,5164,7.490850392993587e-05,2.9932950903700288e-05,0.18246653397815937,8.362792330875669e-07,7.491108922492766e-05
1004,5164,3.9667317605492e-05,2.894870142142515e-05,0.18023258575498102,3.5320716240219593e-06,3.951357872476062e-05
371,5164,8.400634504465287e-06,4.1804832961632914e-06,0.1790168732293308,-1.249537198419299e-06,8.30798910657642e-06
987,5164,0.00014576895074803591,6.850327601308887e-05,0.170005020789868,7.384916930266524e-06,0.0001455958618626491
52,5164,4.4241271896265335e-05,3.7155202233680085e-05,0.16755220777235091,6.889590458528729e-07,4.424019079846251e-05
22,5164,4.062166458991781e-05,3.3454760391742344e-05,0.16376465385063366,5.832268120284151e-07,4.062141085029666e-05
309,5164,4.602424881390305e-05,3.802860203485878e-05,0.14646701183581323,7.774178879281156e-07,4.602213874537591e-05
29,5164,0.00020075249434988346,6.93391518487761e-05,0.13829917105652878,1.8409949449775083e-05,0.00019992593114971427
1102,5164,4.259636965020647e-05,3.3678478967805066e-05,0.1344829132789126,1.0700011173256294e-06,4.258705221833047e-05
800,5164,8.758925656466074e-05,7.442896791246643e-05,0.12953875865401387,-6.38910369677428e-07,8.759540806541428e-05
1103,5164,9.736047933674594e-05,7.085703258331336e-05,0.12627915538648593,2.3875774535847194e-07,9.736961477104133e-05
348,5164,6.057208948402063e-05,3.0926245927142984e-05,0.11725295022574223,2.5345011390924076e-07,6.057742487226181e-05
303,5164,9.490905687705047e-06,5.19516679631106e-06,0.11644884862862259,-6.953442412308789e-07,9.466316084262345e-06
1101,5164,6.374116342807709e-05,5.258161993776501e-05,0.11028874610112127,4.6007265430796054e-07,6.374567546494955e-05
91,5164,4.699552764415146e-05,3.950579550103886e-05,0.10617044926335528,9.582978211726401e-06,4.601256492421032e-05
179,5164,8.924169219875123e-05,2.3354604173680083e-05,0.10520700697140672,2.2142219617956035e-06,8.922285821170746e-05
154,5164,0.00013343809556321296,3.6114533413297805e-05,0.10285751705208179,2.2941917444245186e-06,0.00013343129216658977
360,5164,2.330162922462337e-05,1.1351974769131025e-05,0.10046258322725399,3.109902953950151e-07,2.3301810136504525e-05
384,5164,0.00016782878574114253,6.603009963855242e-05,0.09844779012609817,7.409934682953545e-06,0.00016768136154361155
222,5164,0.00025932651197921314,0.00021351195500547506,0.09531540422604623,1.7243016000036535e-05,0.000258777676871165
850,5164,1.564583166062833e-05,1.3585883591618102e-05,0.09516501944758637,2.3991912717270495e-06,1.5462284031461083e-05
48,5164,0.00014010737444811172,7.95694888849339e-05,0.09303935756938742,3.1062794442066745e-06,0.00014008650042652667
66,5164,4.1857003540080686e-05,2.7972093986899724e-05,0.09158862708890059,2.38259096553872e-06,4.179318419825684e-05
254,5164,2.2704689054679873e-05,1.8488628993677946e-05,0.08863016821100678,1.207271296238786e-06,2.2674764924979707e-05
272,5164,6.712258130790917e-06,5.203222674522832e-06,0.08700810098051903,1.1827166601246446e-07,6.711865964039995e-06
130,5164,0.00023491921456355442,0.00017272776021466603,0.08648450281071374,1.646118131203688e-05,0.00023436446690059236
81,5164,5.125052977588193e-06,3.3316737470749272e-06,0.08614722534440822,2.0637409468537486e-06,4.6916312513936154e-06
964,5136,0.00012154545320154654,2.9625604288379706e-05,0.08549800503366611,3.817276750165741e-06,0.00012149732398465676
128,5120,7.945904959115005e-05,1.162971470602804e-05,0.07721217911213529,9.405225166281398e-07,7.946124338236476e-05
902,5164,0.00010825542051978356,2.3016687321422397e-05,0.07629658805510031,1.5671835122194744e-06,0.0001082545582511445
232,5164,8.352559154659556e-05,7.197217712886435e-05,0.0740125285140667,2.477778724954276e-06,8.349691683346424e-05
374,5164,2.227269545098235e-05,8.233586948765523e-06,0.06978572547691875,-1.970906293267061e-06,2.218746990933092e-05
153,5164,6.614291956456431e-05,1.6662280191401423e-05,0.06803756855316534,-7.035545021510008e-07,6.614558244625377e-05
9,5164,2.5950714129517006e-05,8.958886849225678e-06,0.06653019053348608,-6.408078989183053e-07,2.5945313357967405e-05
158,5160,0.00010400403851092857,2.307690226744977e-05,0.06437924860425603,1.7367675328209534e-06,0.00010399961429545259
867,5164,5.707028155161752e-05,2.3893931736429513e-05,0.06392094075833499,2.519016182610563e-06,5.702018241742083e-05
868,5164,5.024170792665311e-05,1.8747061094152752e-05,0.059215381333580286,2.433440707901183e-06,5.0187601479165444e-05
217,5092,0.00013140770076088703,3.4912581195091864e-05,0.05769680918616038,3.2464840751008957e-06,0.00013138049305351168
1106,5128,0.00030163447807860823,0.00023006062422655218,0.05493329557950399,6.211245855695358e-05,0.000295198906340102
246,5164,8.423730466659454e-06,4.9160793111164165e-06,0.05360814904760758,-4.2820417067383427e-07,8.4136546427983e-06
307,5164,0.00030260780928118594,0.00025885139544527954,0.05141704214909726,3.560938454616779e-05,0.0003005344380789911
