building,n_samples,rmse,mae,r2,mean_residual,std_residual
55,5164,8.914519177131922e-06,6.028832645447757e-06,0.9748199857419387,1.214482242193858e-06,8.832258562529341e-06
4,5164,9.478210765639902e-06,5.396161571363502e-06,0.9725149841860127,1.7505850230844217e-06,9.316047331857062e-06
54,5164,1.3813908516184533e-05,8.590627584630115e-06,0.9596216730303222,-9.005156426278029e-07,1.3785860253384307e-05
150,5164,1.91672304726891e-05,1.0946029526416754e-05,0.9582143424074457,4.449152146651894e-06,1.864551130966147e-05
90,5164,9.012075019957497e-06,6.043093361950559e-06,0.9433231747030193,-1.957239451064722e-06,8.797823515311616e-06
297,5108,4.6798215655824065e-05,2.4209843986764484e-05,0.9423544595173977,4.187927391879743e-06,4.661501534860805e-05
11,5164,1.2780198030942218e-05,6.508941710305884e-06,0.9309147148307451,-1.8837885407897824e-06,1.2641825441668581e-05
266,5164,2.5883546932309266e-05,1.4896541428733815e-05,0.9296428095731806,4.451703355036261e-06,2.550031886103617e-05
86,5164,1.6705194651443035e-05,7.802403208633932e-06,0.9293083266034929,-1.5156700216494612e-06,1.6637904869199257e-05
280,5164,6.147936473830252e-06,5.641584265447169e-06,0.9210586332207261,5.214031123202303e-06,3.2577687968065993e-06
252,5164,3.3364931119530424e-05,2.1380710221938967e-05,0.9152046135466321,3.563659487253369e-06,3.317728311074884e-05
354,5164,1.322706126433935e-05,8.686899067760866e-06,0.908429994212477,2.19232910536315e-06,1.3045374590488771e-05
295,5164,7.0709348098935875e-06,5.4789708163238575e-06,0.9005029005153231,-1.5350622464920332e-06,6.902965341684395e-06
293,5164,2.3225161441633017e-05,1.5763996793764664e-05,0.8942455267164947,2.5176649095414075e-06,2.3090533458659178e-05
25,5164,1.1550705171496299e-05,8.226006508377134e-06,0.8908417627729062,1.316542399632423e-06,1.1476541799987761e-05
1018,5164,2.8880752734982345e-05,2.0855857491536117e-05,0.8879725982037309,1.0309949062915656e-05,2.6980433539190505e-05
375,5164,9.859494670592386e-06,6.1063971358915445e-06,0.8853004808768772,2.984740006605876e-06,9.397769144780631e-06
279,5164,1.5740860625967432e-05,1.0452975382331177e-05,0.8781564292923699,2.627000524947797e-06,1.552160479095262e-05
76,4204,1.3989178215293862e-05,7.743873918213581e-06,0.8686420242501771,2.8635969382739814e-06,1.369458031389173e-05
363,5160,2.6370902435868505e-05,2.029447526922051e-05,0.8680398530403388,4.294467460630575e-06,2.602140019317242e-05
340,5164,3.251236388643321e-05,2.1315490703968173e-05,0.8604531496874809,-2.272225201391436e-06,3.2436006759039806e-05
106,5164,2.233686635406594e-05,1.6447841178156112e-05,0.8601739191716513,3.592073591455726e-06,2.204828209787008e-05
30,5164,1.1841700359539313e-05,5.8255161063372395e-06,0.8587194912152051,1.5534027388864126e-06,1.1740506791680715e-05
294,5164,2.7684931724672145e-05,1.7178248056495718e-05,0.8553865137243719,-2.3556385343912134e-06,2.758720334672855e-05
63,5164,9.04240648313967e-06,5.3635438174951335e-06,0.8537569561978513,-3.3150960327618695e-06,8.413617620523898e-06
356,5164,1.285624203741148e-05,8.89032514205235e-06,0.8505564914676547,3.731616048216514e-06,1.2303955335378904e-05
372,5164,1.976809240160266e-05,1.4351936006214766e-05,0.8500140861240763,3.953676086076645e-06,1.9370559699152106e-05
77,5164,1.2834008796075543e-05,7.289706761736166e-06,0.8488809668340704,-2.286837955386972e-06,1.2629847322067955e-05
26,5164,2.0686955592210983e-05,1.327848843278695e-05,0.845935092576606,4.9089536289404936e-06,2.009802294796097e-05
147,5164,3.7209290636985957e-05,2.3006246269272522e-05,0.8455703739505402,-2.0548777259252785e-06,3.715610492918038e-05
337,5164,1.3515537803168203e-05,9.631056711716039e-06,0.842601827223957,2.4246870907731e-06,1.3297552273536214e-05
70,5164,1.464030246890235e-05,7.390160455853565e-06,0.8415772401353343,2.3210083621656127e-06,1.445655033149062e-05
299,5164,3.4015758964815e-05,2.2931672821430654e-05,0.8414816074286227,3.5281265622222934e-06,3.383557119971657e-05
388,4036,3.674018005152508e-05,2.095735951122442e-05,0.8404764514174412,7.589418914734213e-06,3.595221563247828e-05
245,5164,1.0665376206815829e-05,6.463437512278223e-06,0.8394424324128567,1.5739694293985384e-06,1.0549617142232026e-05
50,5164,1.4334716953609723e-05,1.0634314036091035e-05,0.8389561592366933,2.194040615044991e-06,1.4167186132566388e-05
87,5164,1.2129852325812908e-05,6.192975032102342e-06,0.8191851956728597,2.2928797907494614e-06,1.1912325511312942e-05
10,5164,6.453892533446188e-05,4.777517709799418e-05,0.8167045192216508,9.05034744614282e-06,6.390739381513213e-05
28,5112,6.7503682414008e-05,3.6765714327412316e-05,0.8056045964405648,2.420494014789323e-06,6.746687156472375e-05
149,5164,3.7988368074652974e-05,2.6023326058419642e-05,0.8041237826820162,9.686035406139272e-07,3.797969517518276e-05
14,5164,1.945238180655214e-05,1.2961578211951085e-05,0.8006088668554944,3.264287248274545e-06,1.917839442341202e-05
298,4204,1.493754041050731e-05,1.1025579094931988e-05,0.7986386641930286,2.4863778606432243e-06,1.4730908189075416e-05
271,5164,7.703890439137538e-06,5.4958483962621615e-06,0.7984761509209111,2.3390749689014163e-06,7.3409189970302624e-06
24,5164,4.312027430733688e-06,3.0962317483601072e-06,0.7919060293108477,1.6052656774406856e-06,4.002474843989161e-06
308,5164,1.6954245188927684e-05,1.1763278541028601e-05,0.7896637431978608,3.525681314471082e-06,1.6585212326066324e-05
274,5164,1.681298170675702e-05,1.1691638205155495e-05,0.7853093211129887,-1.2080321112184367e-06,1.6771150230192895e-05
390,4696,0.0001164298936523137,9.380088755592007e-05,0.7681620129531268,5.024511140785542e-05,0.00010504141331200968
5,5164,7.909084695259513e-06,5.716378859110226e-06,0.7673016078931879,2.1334058813994377e-06,7.6166550576306255e-06
49,5164,6.874083383775656e-06,4.183005381809665e-06,0.763467522198205,1.289862574120729e-06,6.75263703337054e-06
7,4292,6.318998830412604e-05,4.6237644251677984e-05,0.7603033063280142,1.7946468685740582e-05,6.0595002859628e-05
59,5164,1.4616850118782309e-05,1.0147304834679618e-05,0.7485287322898438,1.6773132525501187e-06,1.4521699768377745e-05
275,5164,1.96762329911474e-05,1.0964142653979123e-05,0.7423926520607927,2.1802500474874754e-06,1.955696091024679e-05
339,5164,1.0065245586386135e-05,7.983183168700534e-06,0.7400920111281504,-2.3679354226011496e-06,9.783689829550825e-06
61,5164,1.7785643752037713e-05,1.1929588607370095e-05,0.7291659722582351,7.484088953723704e-07,1.7771611288393114e-05
